id;nome;significado;origem;motivo_escolha;pesquisas
66;Adamanto;Adámas, Adámantos, dia mante, indomável. Usado ta mbém;Grego;Extraído de Livro dos Nomes;0
67;Adamastor;Adamas, diamante, indomável, ind ômito, invencível;Grego;Extraído de Livro dos Nomes;0
68;Adamir;Brilhante, famoso, riqu ezas. Nome de ho mem ou mulher;Germânico;Extraído de Livro dos Nomes;0
69;Adamo;Amo excess ivamente;Latim;Extraído de Livro dos Nomes;0
70;Adão;Adham, h omem de terra vermelh a (referênci a ao solo;Hebraico;Extraído de Livro dos Nomes;0
71;Adauto;Aumentado, acresc ido, ajuntado;Latim;Extraído de Livro dos Nomes;0
72;Adel;Justo;Árabe;Extraído de Livro dos Nomes;0
73;Adelaide;Adal-h eit, de linhagem nobr e. Do masculino Adalheida,;Teutônico;Extraído de Livro dos Nomes;0
74;Adelardo;Adelheid, de estirp e nobre, de class e nobre;Germânico;Extraído de Livro dos Nomes;0
75;Adelbar;Ader Ba al (ador ador + deus fenício), adorador de Baa lemão;Fenício;Extraído de Livro dos Nomes;0
76;Adelelmo;No bre el mo;Germânico;Extraído de Livro dos Nomes;0
77;Adelfo;Fraternal, ir mão;Grego;Extraído de Livro dos Nomes;0
78;Adélia;Adal, nobre. Adela, Lina sã o diminutivos. Adelina, Adelino,;Teutônico;Extraído de Livro dos Nomes;0
79;Adelita;Diminutivo de Adélia;Espanhol;Extraído de Livro dos Nomes;0
80;Adelmar;Adal + Mari (nobr eza + célebre), de n obreza cé lebre;Germânico;Extraído de Livro dos Nomes;0
81;Adelmarino;No bre, célebre;Germânico;Extraído de Livro dos Nomes;0
82;Adelmiro;No bre, célebre;Germânico;Extraído de Livro dos Nomes;0
83;Adelmo;Abreviatur a de Adelelmo;Germânico;Extraído de Livro dos Nomes;0
84;Adelson;Ádel, justo;Árabe;Extraído de Livro dos Nomes;0
85;Adeltrudes;Adeltrud, pod er, força nobre;Germânico;Extraído de Livro dos Nomes;0
86;Ademar;Adhemar, guerr eiro gl orios o. De Adhe (g uerreir o) e Mar;Teutônico;Extraído de Livro dos Nomes;0
87;Ademir;Revestid o de nobrez a, riqueza;Germânico;Extraído de Livro dos Nomes;0
88;Adeodato;"Da do por De us. Variação de De odato; Deus dedit";Latim;Extraído de Livro dos Nomes;0
89;Aderaldo;O  que governa;Germânico;Extraído de Livro dos Nomes;0
90;Aderbal;Athar Bal l, cultor do deus Baa lemão;Fenício;Extraído de Livro dos Nomes;0
91;Aderico;Príncip e guerre iro;Germânico;Extraído de Livro dos Nomes;0
92;Adi;Aparec e na genealogia de Jesus;Hebraico;Extraído de Livro dos Nomes;0
93;Adib;Educado, instruído;Árabe;Extraído de Livro dos Nomes;0
94;Adiel;Meu ornamento é De us;Hebraico;Extraído de Livro dos Nomes;0
95;Adílio;Fida lgo, nobre. Fem inino: Adília;Francês;Extraído de Livro dos Nomes;0
96;Adina;"Adni, voluptosa; estimada pe la sua figur a. Dina é di minutivo  e";Hebraico;Extraído de Livro dos Nomes;0
97;Adir;Ilustre;Fenício;Extraído de Livro dos Nomes;0
98;Adira;Sensív el;Hebraico;Extraído de Livro dos Nomes;0
99;Adlai;Meu teste munho (da pa lavra de De us), meu ornamento;Hebraico;Extraído de Livro dos Nomes;0
100;Adler;Adlar, águ ia. Claro d e mente e visão;Teutônico;Extraído de Livro dos Nomes;0
