id;nome;significado;origem;motivo_escolha;pesquisas
294;Amaranto;Que n ão des merec e;Grego;Extraído de Livro dos Nomes;0
295;Amarílis;Fresca, brilhante. Planta de gra ndes e bel as flores;Latim;Extraído de Livro dos Nomes;0
296;Amarino;Um pouco a margo;Latim;Extraído de Livro dos Nomes;0
297;Amaro;Amarus, am argo. O mesmo que M auro;Latim;Extraído de Livro dos Nomes;0
298;Amary;Árvore da famí lia das rutáce as;Tupi;Extraído de Livro dos Nomes;0
299;Amasias;Javé confirm ou;Hebraico;Extraído de Livro dos Nomes;0
300;Amata;Amada;Latim;Extraído de Livro dos Nomes;0
301;Amato;Amado;Latim;Extraído de Livro dos Nomes;0
302;Amazonas;Amazónes, sem  seio;Grego;Extraído de Livro dos Nomes;0
303;Ambrósio;Abrotos, o divino, o imortal;Grego;Extraído de Livro dos Nomes;0
304;Américo;Prínci pe lab orios o. O mesmo que Amauri;Teutônico;Extraído de Livro dos Nomes;0
305;Amerino;Amerinus, naturale mão da cid ade de América, Etrúria;Latim;Extraído de Livro dos Nomes;0
306;Amério;Chefe de obr a;Germânico;Extraído de Livro dos Nomes;0
307;Amiel;M eu povo  é Deus;Hebraico;Extraído de Livro dos Nomes;0
308;Amílcar;Ham Melkas, graça de Hérc ules;Púnico;Extraído de Livro dos Nomes;0
309;Amin;Fiel. Nome d a mãe de Maomé;Árabe;Extraído de Livro dos Nomes;0
310;Amina;Fiel. Amina foi a mãe de Maomé (Mahomet) fundador d o;Árabe;Extraído de Livro dos Nomes;0
311;Aminabad;M eu tio patern o é generos o;Hebraico;Extraído de Livro dos Nomes;0
312;Aminda;Digna de ser a mada;Esperanto;Extraído de Livro dos Nomes;0
313;Aminon;Digno d e confianç a;Hebraico;Extraído de Livro dos Nomes;0
314;Amintas;Amyno, protetor , defensor;Grego;Extraído de Livro dos Nomes;0
315;Amir;Prínci pe;Árabe;Extraído de Livro dos Nomes;0
316;Amiron;Deus é sub lime;Hebraico;Extraído de Livro dos Nomes;0
317;Ammon;Júpiter. Hebraico: filh o do meu povo, no me de u m rei d e Judá,;Líbio;Extraído de Livro dos Nomes;0
318;Amonati;dista nte;Tupi;Extraído de Livro dos Nomes;0
319;Amorin;Origem de Gáliza;Latim;Extraído de Livro dos Nomes;0
320;Amós;O forte, o robusto;Hebraico;Extraído de Livro dos Nomes;0
321;Amapro;Manuparar e, dar a m ão ou proteger;Latim;Extraído de Livro dos Nomes;0
322;Ampélio;Ampelius, grego Ampelos, v inhedo;Latim;Extraído de Livro dos Nomes;0
323;Ana;Han nah, cheia de graça, a benéfic a;Hebraico;Extraído de Livro dos Nomes;0
324;Anabela;Amável;Inglês;Extraído de Livro dos Nomes;0
325;Anacleto;Chamado de novo;Grego;Extraído de Livro dos Nomes;0
326;Anael;No ocultis mo é o a njo qu e governa as sa lamandras;Grego;Extraído de Livro dos Nomes;0
327;Anajá;Palmeira alta;Tupi;Extraído de Livro dos Nomes;0
328;Anajé;Gavião;Tupi;Extraído de Livro dos Nomes;0
329;Anami;Nome de uma árvore;Tupi;Extraído de Livro dos Nomes;0
330;Ananã;Cheiros o, fruta cheiros a, ananás, abac axi;Tupi;Extraído de Livro dos Nomes;0
331;Ananias;Han aniah, o amado de De us;Hebraico;Extraído de Livro dos Nomes;0
332;Anápio;Anapius, greg o Anapias, romano q ue salvou seus pais de u ma;Latim;Extraído de Livro dos Nomes;0
333;Anastácia;Anastac ios, da ressurreiç ão;Grego;Extraído de Livro dos Nomes;0
334;Anatólio;Anato lios, ho mem do or iente ou do le ste;Grego;Extraído de Livro dos Nomes;0
335;Anaxágoras;Anax  + agor á (o primeiro + reu nião), o do minador d a;Grego;Extraído de Livro dos Nomes;0
336;Anaximandro;Nascid o para governar , dominador;Grego;Extraído de Livro dos Nomes;0
337;Anchieta;Topônimo de or igem basca;Espanhol;Extraído de Livro dos Nomes;0
338;Anderson;Filho d e Andr é;Germânico,inglês;Extraído de Livro dos Nomes;0
339;Andirá;Vampiro, morcego;Tupi;Extraído de Livro dos Nomes;0
340;Andrade;Topônimo do reino d a Galiza;Português;Extraído de Livro dos Nomes;0
341;André;Andr eas, forte, viril;Grego;Extraído de Livro dos Nomes;0
342;Andreoli;Sobr enome ita liano derivado de André;Italiano;Extraído de Livro dos Nomes;0
343;Ándrocles;Glória de ho mem, ho mem glorioso;Grego;Extraído de Livro dos Nomes;0
344;Aneci;Cheia de graça, relativo a Nanci;Francês;Extraído de Livro dos Nomes;0
345;Anésio;Ánesis, repous o;Grego;Extraído de Livro dos Nomes;0
346;Ângela;Ángelos (leia-s e ânguelos), me nsag eiro;Grego;Extraído de Livro dos Nomes;0
347;Angélica;Angelicus, puro com o um  anjo. Conceito da m ulher;Greco-latino;Extraído de Livro dos Nomes;0
348;Ângelo;Ângelos, anjo, daí o italiano Ângelo, anjo ou m ensageiro;Grego;Extraído de Livro dos Nomes;0
349;Angícia;De usa dos enca ntam entos. Às vezes  confundi da com  sua irm ã;Latim;Extraído de Livro dos Nomes;0
350;Anhaia;Irmã o;Espanhol,basco;Extraído de Livro dos Nomes;0
351;Anhangá;Só alma;Tupi;Extraído de Livro dos Nomes;0
352;Anhangüera;O fantasm a, diabo consu mado, o esp ectro.  Variação:;Tupi;Extraído de Livro dos Nomes;0
353;Aníbal;Graça de Baa l, dádiva  de Baal;Púnico;Extraído de Livro dos Nomes;0
354;Aniceto;Invencí vel;Grego;Extraído de Livro dos Nomes;0
355;Anícia;Filha d e Ana;Hebraico;Extraído de Livro dos Nomes;0
356;Anira;Anel;Tupi;Extraído de Livro dos Nomes;0
357;Anis;Amável;Árabe;Extraído de Livro dos Nomes;0
358;Anísio;Completo, perfe ito;Grego;Extraído de Livro dos Nomes;0
359;Anjos;Sobren ome de orig em religiosa;Português;Extraído de Livro dos Nomes;0
360;Ann,Anne;Ana;Inglês,francês;Extraído de Livro dos Nomes;0
361;Ansberto;Bril ho dos de uses Asen;Germânico;Extraído de Livro dos Nomes;0
362;Anselmo;Ansh elm, e lmo divino;Teutônico;Extraído de Livro dos Nomes;0
363;Antelmo;Co berto de flores;Germânico;Extraído de Livro dos Nomes;0
364;Antêmio;Anthos, flor;Grego;Extraído de Livro dos Nomes;0
365;Antenor;"Lutador qu e toma lugar de outro; aqu ele qu e substitui outro";Grego;Extraído de Livro dos Nomes;0
366;Antero;Cheio de flores;Grego;Extraído de Livro dos Nomes;0
367;Anteu;Antai os ou Anthé us, que está na vangu arda, florid o. Giga nte;Grego;Extraído de Livro dos Nomes;0
368;Anthony;Antônio;Inglês;Extraído de Livro dos Nomes;0
369;Antídio;Que está perante Zeus;Grego;Extraído de Livro dos Nomes;0
370;Antístenes;Que é contra a força;Grego;Extraído de Livro dos Nomes;0
371;Antoine;Antôn io;Francês;Extraído de Livro dos Nomes;0
372;Antônia;Anton ia, inesti mável.  A que não tem  preço. Forma fe minina d e;Latim;Extraído de Livro dos Nomes;0
373;Antonino;Li gado a Antôni o;Latim;Extraído de Livro dos Nomes;0
374;Antônio;Antonius, in estim ável, o que nã o tem preç o. Tonho, Toninho,;Latim;Extraído de Livro dos Nomes;0
375;Aparício;Apar ição. Antigamente, no Brasi l, os m eninos nasc idos no di a;Latim;Extraído de Livro dos Nomes;0
376;Apiúna;Pinta do de preto;Tupi;Extraído de Livro dos Nomes;0
377;Apoema;Aquele qu e enxerga longe;Tupi;Extraído de Livro dos Nomes;0
378;Apolinário;Co nsagra do a Apolo, deus da pr ocriaçã o na mitologia greco-;Latim;Extraído de Livro dos Nomes;0
379;Apolo;O ma is be lo dos deus es. Deus da procr iação;Latim;Extraído de Livro dos Nomes;0
380;Apolodoro;Pres ente do deus gr ego Apolo;Grego;Extraído de Livro dos Nomes;0
381;Apolônia;Co nsagra da a Apolo;Grego;Extraído de Livro dos Nomes;0
382;Apolônio;Apollonius, grego Apélon, o pertencente a o deus Apolo, o;Latim;Extraído de Livro dos Nomes;0
383;Aprígio;Caçad or de javali;Latim;Extraído de Livro dos Nomes;0
384;Aquias;M eu irmão é Javé,  amigo de Ja vé;Hebraico;Extraído de Livro dos Nomes;0
385;Áquila;Aquila, águ ia;Latim;Extraído de Livro dos Nomes;0
386;Aquiles;Achiléus ou Achlys, lobo terrí vel. Homem de lá bios curtos e;Grego;Extraído de Livro dos Nomes;0
387;Aquilina;Aquila, águia;Latim;Extraído de Livro dos Nomes;0
388;Aquilino;Aquila, águ ia;Latim;Extraído de Livro dos Nomes;0
389;Aquino;Nasc ido e m Aquino, Itália (Sa nto Tomás de Aquino);Latim;Extraído de Livro dos Nomes;0
390;Ará;A que an da, caminha;Hebraico;Extraído de Livro dos Nomes;0
391;Arabela;Ara-bel la, altar form oso;Latim;Extraído de Livro dos Nomes;0
392;Arabi;Lindas lá grimas. Índia a mazonens e que segu ndo a le nda, chorou;Tupi;Extraído de Livro dos Nomes;0
393;Aracaé;Pássaro bri guento;Tupi;Extraído de Livro dos Nomes;0
394;Aracê;Despo ntar, auror a;Tupi;Extraído de Livro dos Nomes;0
395;Aracéli;Altar do céu;tupi;Extraído de Livro dos Nomes;0
396;Aracema;Saída do d ia, aurora;Tupi;Extraído de Livro dos Nomes;0
397;Araci;Aracy, mão do dia, a aurora;Tupi;Extraído de Livro dos Nomes;0
398;Aracné;Aran ha, na mitologia;Grego;Extraído de Livro dos Nomes;0
399;Aracunda;Papag aio arrufa do ou parru do, forte;Tupi;Extraído de Livro dos Nomes;0
400;Aragão;Aragó n, topô nimo de Aragón, proc edente de Aragó n;Espanhol;Extraído de Livro dos Nomes;0
401;Araguarino;A água ou rio da ba ixada dos papagaios;Tupi;Extraído de Livro dos Nomes;0
402;Araíba;Papag aio ou te mpo m au, tem pestad e;Tupi;Extraído de Livro dos Nomes;0
403;Aramis;Oriundo d e Aramits, uma localidade dos Baixos Pirineus, na;Basco;Extraído de Livro dos Nomes;0
404;Aranha;Que tece,  tece lã perfeita. Alcunha q ue ma is tarde pass ou a ser;Grego;Extraído de Livro dos Nomes;0
405;Arani;Tempo furioso;Tupi;Extraído de Livro dos Nomes;0
406;Arantes;De Arantes, topônimo;Galego;Extraído de Livro dos Nomes;0
407;Arão;O montanhês, o el evado, o ilu minado, o inspira do;Hebraico;Extraído de Livro dos Nomes;0
408;Arapuã;Abelha qu e faz o enxu redon do;Tupi;Extraído de Livro dos Nomes;0
409;Araquém;Pássar o ou tempo que dor me, dor minhoc o;Tupi;Extraído de Livro dos Nomes;0
410;Ararê;Amigo dos pap agaios, páss aros;Tupi;Extraído de Livro dos Nomes;0
411;Arari;Arara am arela, canindé. Nome de um a árvore e da tinta que del a se;Tupi;Extraído de Livro dos Nomes;0
412;Araribóia;Cobra do rio d as araras, cobra ronca deira;Tupi;Extraído de Livro dos Nomes;0
413;Araripe;Rio dos pap agaios;Tupi;Extraído de Livro dos Nomes;0
414;Araruna;Arara preta;Tupi;Extraído de Livro dos Nomes;0
415;Aratama;Terra dos pa paga ios;Tupi;Extraído de Livro dos Nomes;0
416;Araújo;Topônimo do galego, do castelo de Araúj a, perto do rio;Português;Extraído de Livro dos Nomes;0
417;Arcádio;Arcad ius, grego Arkádi os, homens ursos, vindos d a terra d os;Latim;Extraído de Livro dos Nomes;0
418;Arcângelo;O pri meiro entre os anj os;Grego;Extraído de Livro dos Nomes;0
419;Arco-verde;Muirau bi, madeira para arco (m uíra) v erde (u bi);Tupi;Extraído de Livro dos Nomes;0
420;Arduíno;Homem forte  e au daz;Teutônico;Extraído de Livro dos Nomes;0
421;Arésio;Agradável;Grego;Extraído de Livro dos Nomes;0
422;Argemiro;Co mbatente,  guerreir o ilustre;Teutônico;Extraído de Livro dos Nomes;0
423;Argeu;Arge ios ou Aragaios, radiante, bri lhoso;Grego;Extraído de Livro dos Nomes;0
424;Argos;Brilhante, luzidio, radiante. Person agem mi tológico;Grego;Extraído de Livro dos Nomes;0
425;Ari;Arih, leã o. Tupi: homem vaidoso, o cachea do;Hebraico;Extraído de Livro dos Nomes;0
426;Ariadna;Nome de pers onag em da mitologia greg a que deu a se u;Grego;Extraído de Livro dos Nomes;0
427;Ariadne;Ariádne, ou ori undo da i lha de Cr eta. Ari M ágne, a mu ito;Grego;Extraído de Livro dos Nomes;0
428;Ariana;Ares, nome do deus da g uerra na m itologia, eq uivalente a;Grego;Extraído de Livro dos Nomes;0
429;Ariberto;E xército valoroso. No me d e reis da Lombardia;Germânico;Extraído de Livro dos Nomes;0
430;Aricema;Palma que brota;Tupi;Extraído de Livro dos Nomes;0
431;Arícia;Princ esa ateni ense;Grego;Extraído de Livro dos Nomes;0
432;Arides;Aridaios, latim Arideus, muito destruid or, guerr eiro;Grego;Extraído de Livro dos Nomes;0
433;Ariel;Fogo de De us, leão de De us;Hebraico;Extraído de Livro dos Nomes;0
434;Arilda;Lar , doméstica;Germânico;Extraído de Livro dos Nomes;0
435;Arina;Alegre;Hebraico;Extraído de Livro dos Nomes;0
436;Arion;O  muito enérgico, o apressad o;Grego;Extraído de Livro dos Nomes;0
437;Ariosto;Latin izado Ariovistus,  o fida lgo. Fam oso poeta ital iano, autor de;Celta;Extraído de Livro dos Nomes;0
438;Ariovaldo;Ariawald ou Heri + w aldan (exército +  comandar), o9;Germânico;Extraído de Livro dos Nomes;0
439;Aristágoras;O ótim o orad or, ótim o conse lheiro;Grego;Extraído de Livro dos Nomes;0
440;Aristarco;Ótimo chefe;Grego;Extraído de Livro dos Nomes;0
441;Aristeu;Ótim o, muito b om;Grego;Extraído de Livro dos Nomes;0
442;Aristides;Bril hante pe la sua ascen dênc ia;Grego;Extraído de Livro dos Nomes;0
443;Aristipo;O  melhor cavalo. Filósofo sensu alista;Grego;Extraído de Livro dos Nomes;0
444;Aristo;O me lhor;Grego;Extraído de Livro dos Nomes;0
445;AristocléaouAristocléia;Ilustre.  Sacer dotisa do Templo de Apolo,;Grego;Extraído de Livro dos Nomes;0
446;Arístocles;O  melhor e ma is rep utado;Grego;Extraído de Livro dos Nomes;0
447;Aristodemo;O me lhor do povo;Grego;Extraído de Livro dos Nomes;0
448;Aristófanes;O  que parec e ser o m elhor;Grego;Extraído de Livro dos Nomes;0
449;Aristófila;Amiga das coisas no bres ou me lhores;Grego;Extraído de Livro dos Nomes;0
450;Aristófilo;Amigo do melhor, do puro, do be m esco lhido;Grego;Extraído de Livro dos Nomes;0
451;Ariston;O me lhor;Grego;Extraído de Livro dos Nomes;0
452;Aristóteles;E xcelente confide nte, ótimo co nselh eiro;Grego;Extraído de Livro dos Nomes;0
453;Aritana;Nome de u m fam oso caci que da tribo;Yawalapiti;Extraído de Livro dos Nomes;0
454;Arlene;Gara ntia, penhor;Celta;Extraído de Livro dos Nomes;0
455;Arlete;Airleas, (pe nhor) atra vés do francês Arlette;Celta;Extraído de Livro dos Nomes;0
456;Arlindo;Poderoso co mo a águia, escu do da águ ia;Teutônico;Extraído de Livro dos Nomes;0
457;Armando;Homem do e xército, homem de armas;Teutônico;Extraído de Livro dos Nomes;0
458;Armênio;Natural d a Armênia, terra dos m ontes az uis;Latim;Extraído de Livro dos Nomes;0
459;Armina;Har imann, guerr eira;Teutônico;Extraído de Livro dos Nomes;0
460;Arminda;Doc e;Germânica;Extraído de Livro dos Nomes;0
461;Armindo;Har imann, ho mem de g uerra;Teutônico;Extraído de Livro dos Nomes;0
462;Armínio;Forte, poderoso. Nome de u m heró i germânico, uma;Germânico;Extraído de Livro dos Nomes;0
463;Arnaud;Arna ldo;Francês;Extraído de Livro dos Nomes;0
464;Arnóbio;Vida de C ordeiro;Grego;Extraído de Livro dos Nomes;0
465;Arnold;Arnaldo;Inglês,alemã;Extraído de Livro dos Nomes;0
466;Arnoldo;Arwald, forte co mo u ma á guia;Teutônico;Extraído de Livro dos Nomes;0
467;Arnolfo;Combatente co m a cora gem da águ ia e do lob o;teutônico;Extraído de Livro dos Nomes;0
468;Arnon;Topôn imo, Armôn, rio que d eságu a no Mar Morto;Hebraico;Extraído de Livro dos Nomes;0
469;Arns;Mais usad o como sobren ome;Germânico;Extraído de Livro dos Nomes;0
470;Arnulfo;Hari + wald (exército + comandar), o co mandante, o chefe;Germânico;Extraído de Livro dos Nomes;0
471;Aron;Luz ou il uminado;Hebraico;Extraído de Livro dos Nomes;0
472;Arouche;Procede nte de Arouche, Andaluzia;Espanhol;Extraído de Livro dos Nomes;0
473;Arquelau;Guia, chefe do povo, governador do p ovo;Grego;Extraído de Livro dos Nomes;0
474;Arquias;Governo, mando;Grego;Extraído de Livro dos Nomes;0
475;Arquibaldo;Erch an-bo ld, sagrad o, nobre e ousad o;Anglo-franco-alemão;Extraído de Livro dos Nomes;0
476;Arquimedes;O  que pens a muito. Nome de um  dos ma is cél ebres;Grego;Extraído de Livro dos Nomes;0
477;Arrais;Ch efe de embarcaç ão;Português;Extraído de Livro dos Nomes;0
478;Arriaga;Pedras enxutas,  pedras estreitas;Basco;Extraído de Livro dos Nomes;0
479;Arrieta;Pedreg al, pedreira;Basco;Extraído de Livro dos Nomes;0
480;Arrigo;Variação de He nrique;Italiano;Extraído de Livro dos Nomes;0
481;Arriola;Lugar d e pedras, oficin a de pedras;Basco;Extraído de Livro dos Nomes;0
482;Arroyo;Arroio;Espanhol;Extraído de Livro dos Nomes;0
483;Arruda;Nome de pl anta, lugar on de há arru da;Português;Extraído de Livro dos Nomes;0
484;Arsênio;Forte, viril;Grego;Extraído de Livro dos Nomes;0
485;Arsinoé;De forte  caráter. Nome de pr incesas egípc ias;Grego;Extraído de Livro dos Nomes;0
486;Arsíone;Arsin oé, Arsínoos, espírito, ânimo varonil;Grego;Extraído de Livro dos Nomes;0
487;Artaxerxer;Artahs hasa, que rei na com  justiça, que te m arte;Iraniano;Extraído de Livro dos Nomes;0
488;Artemidoro;Presente de Artemis, deusa da mi tologia;Grego;Extraído de Livro dos Nomes;0
489;Ártemis;Frescor , saúde, sad ia. Irmã de Apolo e fil ha de Zeus. Deusa;Grego;Extraído de Livro dos Nomes;0
490;Artemisa;Perfeita. No me de ra inhas;Grego;Extraído de Livro dos Nomes;0
491;Artigas;Ártiga, Órtiga, castiga da, ensinada, para o basco si gnific a;Germânico;Extraído de Livro dos Nomes;0
492;Artur;Arth-w r, o no bre, o generos o;Celta;Extraído de Livro dos Nomes;0
493;Arturo;Artur;Italiano;Extraído de Livro dos Nomes;0
494;Aruana;Jeitoso, hábil;Tupi;Extraído de Livro dos Nomes;0
495;Asael;Deus fez;Hebraico;Extraído de Livro dos Nomes;0
496;Asariel;Meu Deus li ga, meu Deus luta;Hebraico;Extraído de Livro dos Nomes;0
497;Ascânio;Campo flor ido. Planície n a Frígia. Ascânio, na m itologia, é;Grego;Extraído de Livro dos Nomes;0
498;Ascári;Sen hor de frei xo;Germânico;Extraído de Livro dos Nomes;0
499;Ascendino;Que sobe, que se e leva;Latim;Extraído de Livro dos Nomes;0
500;Ascenso;Aquele que sub iu, que se elevou;Latim;Extraído de Livro dos Nomes;0
501;Asdrúbal;O auxiliar de Baa l;Púnico;Extraído de Livro dos Nomes;0
502;Asélia;Ju menti nha;Latim;Extraído de Livro dos Nomes;0
503;Aselma;Divina proteç ão;Germânico;Extraído de Livro dos Nomes;0
504;Aser;Tesouro. Um dos doze filhos d e Jacó;Hebraico;Extraído de Livro dos Nomes;0
505;Asileu;Deus qu e presidia ao refúgi o que Rô mulo abr ira em  Roma. Seu;Latim;Extraído de Livro dos Nomes;0
506;Aspásia;A carin hosa, aqu ela qu e recebe co m ternura;Grego;Extraído de Livro dos Nomes;0
507;Assad;Mais feliz;Árabe;Extraído de Livro dos Nomes;0
508;Assis;Proc edente de Assis na Itália. No me d e origem religiosa, São;Latim;Extraído de Livro dos Nomes;0
509;Assuero;X erxes , form a persa dess e nome greg o, famoso rei d a Pérsia;Grego;Extraído de Livro dos Nomes;0
510;Assunção;Nome de m ulher, por inf luênc ia da Assunção de Maria,;Português;Extraído de Livro dos Nomes;0
511;Assunta;Sub ida, elevada;Latim;Extraído de Livro dos Nomes;0
512;Assurbanípal;O  deus Asur de u um filho;Assírio;Extraído de Livro dos Nomes;0
513;Astéria;Brilhante como um astro;Grego;Extraído de Livro dos Nomes;0
514;Astério;Bril hante co mo u m astro;Grego;Extraído de Livro dos Nomes;0
515;Astolfo;Lob o combatente, aquele que co mbate como lobo;Teutônico;Extraído de Livro dos Nomes;0
516;Astor;U ma ave  de rapina;Francês;Extraído de Livro dos Nomes;0
517;Astride;Amazon a de lança, amazona proteg ida por d euses. Nome de;Sueco;Extraído de Livro dos Nomes;0
518;Astrogildo;Brilhante e digno d e sacrifício;Teutônico;Extraído de Livro dos Nomes;0
519;Ataíde;Pai l uta. Derivado do germânico Athanagild;Português;Extraído de Livro dos Nomes;0
520;Átala;Ternura;Grego;Extraído de Livro dos Nomes;0
521;Atalanta;Pod eroso suporte. Fem inino de Atlas, o her ói que carr egou o;Grego;Extraído de Livro dos Nomes;0
522;Atália;Elevado a Javé ou a bri lhante. Form osa rain ha de Jud á, filha;Hebraico;Extraído de Livro dos Nomes;0
523;Ataliba;Ave de fel icidade. Forma si mplificada do no me Atabal iba,;Quíchua;Extraído de Livro dos Nomes;0
524;Átalo;Alegre, divertid o;Grego;Extraído de Livro dos Nomes;0
525;Atanagildo;V aloroso;Germânico;Extraído de Livro dos Nomes;0
526;Atanásia;Im ortal;Grego;Extraído de Livro dos Nomes;0
527;Atanásio;Aquele qu e não mo rre, o imortal;Grego;Extraído de Livro dos Nomes;0
528;Ataualpa;Atahua lpa, a ve da fel icidade, o galo;Quíchua;Extraído de Livro dos Nomes;0
529;Ataúlfo;No bre como o lobo, nobre guerr eiro;Teutônico;Extraído de Livro dos Nomes;0
530;Atibaia;Ave sadi a. Nome de cida de de São Pau lo;Tupi;Extraído de Livro dos Nomes;0
531;Átila;Atta, pai, peq ueno p ai;Gótico;Extraído de Livro dos Nomes;0
532;Atlas;Lavar , carregar , sustentador;Grego;Extraído de Livro dos Nomes;0
533;Atos;Intacto, ileso, incólume, livre.  Nome de um  dos Três;Grego;Extraído de Livro dos Nomes;0
534;Atreu;Que nad a teme, mi tológico;Grego;Extraído de Livro dos Nomes;0
535;Augusta;Nobre, gl orificad a;Latim;Extraído de Livro dos Nomes;0
536;Augustinho;Glorificad o, nobre. Gran de doutor de Igre ja;Latim;Extraído de Livro dos Nomes;0
537;Augusto;Augustus,  dignidade m agestática,  sagrado, sub lime;Latim;Extraído de Livro dos Nomes;0
538;Auleste;Re i dos Etruscos,  irmão de Ocno e fundad or de Perúsia, cid ade;Latim;Extraído de Livro dos Nomes;0
539;Aura;Sopr o leve, perfum e. Ambiente espiritual qu e envolve cada;Latim;Extraído de Livro dos Nomes;0
540;Áurea;Feita ou coberta de our o;Latim;Extraído de Livro dos Nomes;0
541;Aurélia;Dourada ou filh a do ouro. Deusa romana da m adrugad a;Latim;Extraído de Livro dos Nomes;0
542;Aureliano;Filh o do ouro;Latim;Extraído de Livro dos Nomes;0
543;Aurélio;Úsi l, sol;Etrusco;Extraído de Livro dos Nomes;0
544;Aurora;O  romper do dia, ma drugada q ue anu ncia novo dia;Latim;Extraído de Livro dos Nomes;0
545;Auspício;Augúrio, pro messa;Latim;Extraído de Livro dos Nomes;0
546;Austragésilo;Austr + gisa l, brilhante + refé m;Germânico;Extraído de Livro dos Nomes;0
547;Auto;Auctus,  aumentad o, acresc ido;Latim;Extraído de Livro dos Nomes;0
548;Autodemonte;Autode monte, do gre go Automédon: autós: própr io, e;Latim;Extraído de Livro dos Nomes;0
549;Autódico;Autód ikos, que te m juris dição própria, indepe ndente;Grego;Extraído de Livro dos Nomes;0
550;Autólico;Autol ycus, do gr ego Autólykos: autós: própr io, lykos: lobos ,;Latim;Extraído de Livro dos Nomes;0
551;Avaré;Homem am igo;Tupi;Extraído de Livro dos Nomes;0
552;Avatí;Herói de um mito indígen a;Guarani;Extraído de Livro dos Nomes;0
553;Avelino;No me de cidade italiana;Latim;Extraído de Livro dos Nomes;0
554;Aviano;Avinus, nome de um  fabul ista latino;Latim;Extraído de Livro dos Nomes;0
555;Avito;Avitus, de avô, que vem do avô ou dos ante passad os;Latim;Extraído de Livro dos Nomes;0
556;Áxel;Espada, defensor p oderos o;Escandinavo;Extraído de Livro dos Nomes;0
557;Ayacá;Cesto de vime, taquara;Tupi;Extraído de Livro dos Nomes;0
558;Ayala;Sen hores de Bisc aia;Espanhol;Extraído de Livro dos Nomes;0
559;Ayoacy;Jovem, mo ça, rapari ga;Tupi;Extraído de Livro dos Nomes;0
560;Ayra;Sobr inho, filh o do irmão;Tupi;Extraído de Livro dos Nomes;0
561;Ayrosa;Ai-rosa;Espanhol;Extraído de Livro dos Nomes;0
562;Ayssó;Belo, form oso, lindo;Tupi;Extraído de Livro dos Nomes;0
563;Azael;Deus v iu;Hebraico;Extraído de Livro dos Nomes;0
564;Azaiel;M inha força é D eus;Hebraico;Extraído de Livro dos Nomes;0
565;Azair;Ricco;Hebraico;Extraído de Livro dos Nomes;0
566;Azaléia;Azálea, seca. Flor que nasc e na terra seca;Grego;Extraído de Livro dos Nomes;0
567;Azarias;Aquele q ue o Senhor a judou;Hebraico;Extraído de Livro dos Nomes;0
568;Ázem;Reso luto, decidido;Árabe;Extraído de Livro dos Nomes;0
569;Azer;Auxílio;Hebraico;Extraído de Livro dos Nomes;0
570;Azeredo;Ázer e sufixo  edo, ou da Galiza, Aceredo. No me p ortuguês de;Árabe;Extraído de Livro dos Nomes;0
571;Azim;Aziz, caro, estim ado, bem amado;Árabe;Extraído de Livro dos Nomes;0
572;Aziz;Caro, esti mado, querid o;Árabe;Extraído de Livro dos Nomes;0
573;Azor;Ajudante;Hebraico;Extraído de Livro dos Nomes;0
574;Bárbrio;Babrius, do gre go Bábri os (ao lado de Babrias);Latim;Extraído de Livro dos Nomes;0
575;Bacelar;De orig em portugues a, lugar ond e se planta m barc elos;Português;Extraído de Livro dos Nomes;0
576;Bach;Padeir o, morador da rib eira;Germânico;Extraído de Livro dos Nomes;0
577;Bachir;Alviçareiro;Árabe;Extraído de Livro dos Nomes;0
578;Bachmann;Morador ju nto à ribeira;Germânico;Extraído de Livro dos Nomes;0
579;Baco;Bacch us, do gr ego Bákchos. Baco (e m gre go Dionísio, o deus de;Latim;Extraído de Livro dos Nomes;0
580;Bacuara;Sábio, ho mem de preparo, inte ligente;Tupi;Extraído de Livro dos Nomes;0
581;Badi;Badi h, formoso;Árabe;Extraído de Livro dos Nomes;0
582;Bádui;Beduíno, ho mem do deserto;Árabe;Extraído de Livro dos Nomes;0
583;Baena;Proce dente de Bae na, Córdova na Espanh a;Espanhol;Extraído de Livro dos Nomes;0
584;Baepeba;O limpo, a clareira, a aberta;Tupi;Extraído de Livro dos Nomes;0
585;Baependi;O que q ueres? Que cois a queres ?;Tupi;Extraído de Livro dos Nomes;0
586;Baeta;Pan o de lã, algodão felp udo;Português;Extraído de Livro dos Nomes;0
587;Bagé;Sozinh o, solidário;Tupi;Extraído de Livro dos Nomes;0
588;Bagófanes;Bag opha nes, nome de um  persa;Latim;Extraído de Livro dos Nomes;0
589;Baiardo;Cabelos ruços;Francês;Extraído de Livro dos Nomes;0
590;Baio;Baius, do greg o Baios, um dos companheiros de Ulisses;Latim;Extraído de Livro dos Nomes;0
591;Baíra;Deus criador e civiliz ador;Tupi;Extraído de Livro dos Nomes;0
592;Balaão;Bal aham, sem povo , estrangeiro;Hebreu;Extraído de Livro dos Nomes;0
593;Bálacro;Bal acrus, nome de ho mem;Latim;Extraído de Livro dos Nomes;0
594;Balbílio;Bal bilius, nome de ho mem;Latim;Extraído de Livro dos Nomes;0
595;Balbo;Bal bus, de fala im compre ensível, aqu ele qu e balbucia;Latim;Extraído de Livro dos Nomes;0
596;Balboa;Vale bo m;Espanhol;Extraído de Livro dos Nomes;0
